order_id,customer_id,product_id,qty,order_date
100,32,16,2,2025-05-19
101,10,15,3,2025-04-22
102,12,16,1,2025-03-04
103,8,12,2,2025-04-08
104,18,10,1,2025-05-15
105,13,19,1,2025-03-10
106,27,18,1,2025-04-12
107,1,11,1,2025-04-09
108,35,19,1,2025-04-24
109,40,14,1,2025-04-05
110,26,19,1,2025-04-28
111,16,15,2,2025-04-14
112,29,13,2,2025-05-12
113,1,11,1,2025-03-30
114,35,10,3,2025-04-16
115,36,15,3,2025-04-27
116,22,14,2,2025-05-12
117,11,16,3,2025-05-14
118,32,15,1,2025-04-15
119,6,10,2,2025-03-19
120,34,18,1,2025-05-22
121,14,17,1,2025-03-07
122,7,11,2,2025-03-02
123,40,11,1,2025-03-04
124,10,11,3,2025-05-29
125,24,11,3,2025-03-09
126,7,10,2,2025-03-12
127,17,14,2,2025-03-13
128,5,13,1,2025-05-27
129,23,12,3,2025-05-29
130,23,13,2,2025-04-12
131,22,17,1,2025-05-23
132,22,10,2,2025-05-07
133,37,17,1,2025-05-21
134,27,10,3,2025-04-29
135,23,19,1,2025-04-15
136,35,17,1,2025-05-11
137,20,10,3,2025-05-25
138,5,15,2,2025-03-11
139,2,12,1,2025-03-06
140,14,16,3,2025-05-13
141,14,14,1,2025-04-16
142,15,15,3,2025-05-14
143,28,14,3,2025-05-09
144,34,19,1,2025-05-14
145,12,11,1,2025-04-11
146,4,15,1,2025-05-27
147,5,11,1,2025-05-25
148,2,10,1,2025-05-19
149,21,18,2,2025-03-17
150,30,17,1,2025-03-28
151,17,19,1,2025-03-24
152,21,14,3,2025-04-23
153,10,17,1,2025-05-12
154,15,14,2,2025-05-07
155,36,13,1,2025-03-01
156,40,17,1,2025-03-02
157,38,19,2,2025-04-23
158,32,12,1,2025-03-21
159,17,11,1,2025-03-31
160,14,10,2,2025-03-05
161,9,14,1,2025-04-24
162,17,11,2,2025-04-18
163,38,12,1,2025-03-14
164,7,12,1,2025-03-06
165,2,15,1,2025-05-11
166,15,19,2,2025-04-13
167,28,12,2,2025-03-02
168,3,11,3,2025-03-05
169,37,17,2,2025-05-11
170,2,18,2,2025-03-22
171,30,12,1,2025-03-23
172,39,13,3,2025-05-25
173,17,15,1,2025-04-27
174,14,11,2,2025-04-24
175,40,17,1,2025-04-30
176,20,18,1,2025-05-20
177,36,15,2,2025-04-02
178,3,18,2,2025-03-17
179,12,12,2,2025-05-02
180,29,18,3,2025-04-27
181,21,11,2,2025-03-17
182,16,17,2,2025-04-22
183,25,11,2,2025-03-04
184,21,16,1,2025-04-02
185,35,14,3,2025-03-21
186,36,16,2,2025-04-16
187,9,15,2,2025-05-09
188,37,10,2,2025-03-16
189,4,10,3,2025-05-05
190,13,18,1,2025-04-11
191,6,11,1,2025-05-18
192,15,17,3,2025-05-21
193,22,15,1,2025-05-25
194,10,16,1,2025-04-24
195,10,15,3,2025-03-21
196,34,10,1,2025-04-03
197,21,17,2,2025-03-05
198,14,10,1,2025-03-06
199,39,17,1,2025-03-02
200,30,16,2,2025-03-16
201,31,14,2,2025-04-09
202,3,19,3,2025-04-05
203,20,19,2,2025-05-20
204,37,14,2,2025-03-12
205,34,11,2,2025-03-30
206,13,13,1,2025-05-11
207,17,19,1,2025-04-22
208,6,19,3,2025-04-21
209,36,13,1,2025-04-13
210,37,18,1,2025-05-27
211,23,18,2,2025-04-10
212,20,19,1,2025-04-07
213,17,16,3,2025-05-02
214,21,17,1,2025-04-17
215,26,14,2,2025-05-18
216,17,16,1,2025-03-23
217,4,14,1,2025-03-23
218,31,11,1,2025-04-14
219,19,13,1,2025-05-03
