employee,dept,salary
E001,Sales,4250
E002,Technology,4800
E003,Finance,4550
E004,Marketing,4350
E005,Operations,3750
E006,Sales,4750
E007,Technology,5000
E008,Finance,4200
E009,Marketing,4600
E010,Operations,4000
E011,Sales,4800
E012,Technology,5900
E013,Finance,5000
E014,Marketing,4350
E015,Operations,3850
E016,Sales,5100
E017,Technology,5250
E018,Finance,4900
E019,Marketing,4600
E020,Operations,3800
E021,Sales,3800
E022,Technology,6100
E023,Finance,5400
E024,Marketing,4250
E025,Operations,4300
E026,Sales,4400
E027,Technology,5250
E028,Finance,4400
E029,Marketing,4200
E030,Operations,4450
E031,Sales,4750
E032,Technology,4750
E033,Finance,4700
E034,Marketing,4450
E035,Operations,4550
E036,Sales,4400
E037,Technology,5300
E038,Finance,5300
E039,Marketing,4450
E040,Operations,3600
E041,Sales,4200
E042,Technology,4850
E043,Finance,5500
E044,Marketing,4150
E045,Operations,4150
E046,Sales,5000
E047,Technology,6200
E048,Finance,4200
E049,Marketing,4250
E050,Operations,3850
E051,Sales,4500
E052,Technology,6300
E053,Finance,4200
E054,Marketing,4600
E055,Operations,4050
E056,Sales,5000
E057,Technology,4950
E058,Finance,4950
E059,Marketing,4000
E060,Operations,4150
E999,Executive,26000
