month,spend,revenue,staff
1,10.1,119.6,13
2,11.1,119.7,12
3,12.0,133.3,13
4,13.2,132.2,14
5,14.9,149.8,14
6,15.4,155.4,14
7,16.5,169.9,14
8,17.2,166.6,14
9,17.6,163.7,15
10,18.3,181.9,14
11,18.0,172.8,15
12,20.7,179.0,15
13,21.7,189.8,15
14,21.6,203.2,15
15,22.9,206.5,17
16,23.4,227.8,17
17,24.9,227.3,16
18,26.3,211.2,18
19,26.1,236.3,18
20,27.5,244.4,18
21,28.4,235.4,18
22,29.6,245.2,18
23,29.4,243.2,19
24,31.6,262.4,19
25,31.5,259.5,20
26,31.6,259.6,20
27,33.3,275.9,21
28,34.0,262.7,20
29,34.4,270.1,20
30,35.6,285.2,21
31,37.0,288.2,20
32,36.7,301.3,21
33,37.7,303.8,22
34,38.8,323.6,21
35,39.4,308.6,22
36,41.4,320.4,23
