month,region,revenue,orders,unit_price
Jan,Central,112.9,39,2.89
Jan,West,87.0,31,2.81
Jan,North,143.1,52,2.75
Jan,East,93.7,33,2.84
Feb,Central,114.9,43,2.67
Feb,West,100.3,36,2.79
Feb,North,154.4,54,2.86
Feb,East,101.2,37,2.74
Mar,Central,137.2,47,2.92
Mar,West,98.3,35,2.81
Mar,North,159.5,60,2.66
Mar,East,97.6,37,2.64
Apr,Central,134.6,48,2.8
Apr,West,96.7,36,2.69
Apr,North,170.3,63,2.7
Apr,East,104.8,36,2.91
May,Central,152.0,53,2.87
May,West,105.4,35,3.01
May,North,168.6,59,2.86
May,East,118.4,42,2.82
Jun,Central,151.0,52,2.9
Jun,West,112.0,38,2.95
Jun,North,177.8,59,3.01
Jun,East,129.6,47,2.76
