month,region,revenue,orders,target
Jan,Central,112.9,39,130
Jan,West,87.0,31,100
Jan,North,143.1,52,145
Jan,East,93.7,33,105
Feb,Central,114.9,43,130
Feb,West,100.3,36,100
Feb,North,154.4,54,145
Feb,East,101.2,37,105
Mar,Central,137.2,47,130
Mar,West,98.3,35,100
Mar,North,159.5,60,145
Mar,East,97.6,37,105
Apr,Central,134.6,48,130
Apr,West,96.7,36,100
Apr,North,170.3,63,145
Apr,East,104.8,36,105
May,Central,152.0,53,130
May,West,105.4,35,100
May,North,168.6,59,145
May,East,118.4,42,105
Jun,Central,151.0,52,130
Jun,West,112.0,38,100
Jun,North,177.8,59,145
Jun,East,129.6,47,105
