order_id,customer_id,order_date,amount,status
41,141,2025-03-28,180.89,CANCELLED
42,142,2025-03-15,299.88,CANCELLED
43,143,2025-03-16,421.25,PENDING
44,144,2025-03-17,161.17,PENDING
45,145,2025-03-18,51.23,SHIPPED
46,,2025-03-19,444.49,PENDING
47,147,2025-03-20,118.01,PENDING
48,148,2025-03-21,263.11,SHIPPED
49,149,2025-03-22,-45.00,PENDING
50,150,2025-03-23,44.61,SHIPPED
51,151,2025-03-24,426.76,SHIPPED
51,152,2025-03-25,153.23,SHIPPED
53,153,2025-03-26,135.28,SHIPPED
54,154,2025-03-27,295.80,PENDING
55,155,2025-03-28,296.00,TELEPORTED
56,156,2025-03-15,194.45,SHIPPED
57,157,2025-03-16,125.25,SHIPPED
58,158,2025-03-17,227.77,CANCELLED
59,159,2025-03-18,226.24,PENDING
60,,2025-03-19,310.04,CANCELLED
61,161,2025-03-20,236.58,PENDING
62,162,2025-03-21,155.08,CANCELLED
63,163,15/03/2025,340.71,CANCELLED
64,164,2025-03-23,226.68,PENDING
65,165,2025-03-24,419.30,PENDING
66,166,2025-03-25,76.71,PENDING
67,167,2025-03-26,301.57,CANCELLED
67,168,2025-03-27,231.22,PENDING
69,169,2025-03-28,87.78,SHIPPED
70,170,2025-03-15,409.98,PENDING
71,171,2025-03-16,443.07,shipped
72,172,2025-03-17,185.34,SHIPPED
73,173,2025-03-18,455.86,PENDING
74,174,2025-03-19,-12.75,SHIPPED
75,175,2025-03-20,105.91,PENDING
76,176,2025-03-21,387.53,SHIPPED
77,177,2025-03-22,212.21,SHIPPED
78,178,2025-03-23,272.32,CANCELLED
79,179,2025-03-24,312.90,SHIPPED
80,180,2025-03-25,383.37,PENDING
