order_id,customer_id,order_date,amount,status
1,101,2025-03-02,274.48,SHIPPED
2,102,2025-03-03,385.43,CANCELLED
3,103,2025-03-04,272.72,PENDING
4,104,2025-03-05,52.26,SHIPPED
5,105,2025-03-06,171.84,PENDING
6,106,2025-03-07,151.86,SHIPPED
7,107,2025-03-08,387.27,CANCELLED
8,108,2025-03-09,302.17,SHIPPED
9,109,2025-03-10,299.93,CANCELLED
10,110,2025-03-11,178.32,SHIPPED
11,111,2025-03-12,454.19,CANCELLED
12,112,2025-03-13,361.33,SHIPPED
13,113,2025-03-14,283.24,SHIPPED
14,114,2025-03-01,368.44,SHIPPED
15,115,2025-03-02,92.60,SHIPPED
16,116,2025-03-03,302.25,SHIPPED
17,117,2025-03-04,342.98,SHIPPED
18,118,2025-03-05,405.57,SHIPPED
19,119,2025-03-06,378.75,SHIPPED
20,120,2025-03-07,90.94,SHIPPED
21,121,2025-03-08,91.21,CANCELLED
22,122,2025-03-09,194.81,CANCELLED
23,123,2025-03-10,388.69,SHIPPED
24,124,2025-03-11,139.77,PENDING
25,125,2025-03-12,187.18,SHIPPED
26,126,2025-03-13,268.21,CANCELLED
27,127,2025-03-14,362.62,CANCELLED
28,128,2025-03-01,255.85,PENDING
29,129,2025-03-02,228.53,CANCELLED
30,130,2025-03-03,265.65,CANCELLED
31,131,2025-03-04,103.07,SHIPPED
32,132,2025-03-05,374.91,SHIPPED
33,133,2025-03-06,43.55,CANCELLED
34,134,2025-03-07,362.45,SHIPPED
35,135,2025-03-08,300.92,SHIPPED
36,136,2025-03-09,422.23,PENDING
37,137,2025-03-10,112.24,PENDING
38,138,2025-03-11,333.58,PENDING
39,139,2025-03-12,363.57,PENDING
40,140,2025-03-13,334.54,SHIPPED
